taxon_name,collection_no,strat_unit,country,stage,MAT_degC,MAP_cm,s_temp,s_precip
Scutellosaurus_lawleri,13279,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Scutellosaurus_lawleri,13279,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Scutellosaurus_lawleri,13280,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Scutellosaurus_lawleri,13280,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Massospondylus_carinatus,13326,"Elliot Formation (Upper), Forest Sandstone Formation, Clarens Formation",South Africa and Zimbabwe,Pliensbachian,14.62067,1.972346,40.15128,4.441834
Dilophosaurus_wetherilli,13409,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Pliensbachian,29.25336,1.964552,17.013090000000002,13.5895725
Dilophosaurus_wetherilli,13409,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Pliensbachian,29.25336,1.964552,17.013090000000002,13.5895725
Dilophosaurus_wetherilli,13410,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Pliensbachian,29.25336,1.964552,17.013090000000002,13.5895725
Dilophosaurus_wetherilli,13410,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Pliensbachian,29.25336,1.964552,17.013090000000002,13.5895725
Coelophysis_rhodesiensis,22663,"Forest Sandstone Formation, Nyamandhlovu Sandstones Formation, Elliot Formation (Upper)",Zimbabwe & South Africa,Sinemurian,29.77701,0.7877136,35.43551,5.7472385
Coelophysis_rhodesiensis,22663,"Forest Sandstone Formation, Nyamandhlovu Sandstones Formation, Elliot Formation (Upper)",Zimbabwe & South Africa,Sinemurian,29.77701,0.7877136,35.43551,5.7472385
Segisaurus_halli,25306,Navajo Sandstone Formation,USA,Toarcian,29.7742,1.451584,21.11221,10.4922302
Segisaurus_halli,25306,Navajo Sandstone Formation,USA,Toarcian,29.7742,1.451584,21.11221,10.4922302
Lesothosaurus_diagnosticus,28570,Elliot Formation (Upper),Lesotho,Sinemurian,17.9859,0.7684606,42.8675855,1.4539000000000002
Lesothosaurus_diagnosticus,28570,Elliot Formation (Upper),Lesotho,Sinemurian,17.9859,0.7684606,42.8675855,1.4539000000000002
Lesothosaurus_diagnosticus,28613,Elliot Formation (Upper),Lesotho,Sinemurian,18.38501,0.9815051,40.073853,4.2616121
Lesothosaurus_diagnosticus,28613,Elliot Formation (Upper),Lesotho,Sinemurian,18.38501,0.9815051,40.073853,4.2616121
Vulcanodon_karibaensis,34768,Forest Sandstone Formation,Zimbabwe,Sinemurian,29.42944,0.7556027,38.411803,5.6220037000000005
Vulcanodon_karibaensis,34768,Forest Sandstone Formation,Zimbabwe,Sinemurian,29.42944,0.7556027,38.411803,5.6220037000000005
Massospondylus_carinatus,34777,"Elliot Formation (Upper), Forest Sandstone Formation, Clarens Formation",South Africa and Zimbabwe,Pliensbachian,28.30185,1.500787,31.91876,11.70690832
Coelophysis_kayentakatae,35248,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Coelophysis_kayentakatae,35248,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Coelophysis_kayentakatae,35249,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Coelophysis_kayentakatae,35249,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Coelophysis_kayentakatae,35250,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Coelophysis_kayentakatae,35250,Kayenta Formation (Silty Facies Member),USA,Pliensbachian,29.11801,1.86051,17.521,12.812273992
Barapasaurus_tagorei,35268,Kota Formation (Lower),India,Pliensbachian,28.91748,3.280145,18.19257,13.060672
Barapasaurus_tagorei,35268,Kota Formation (Lower),India,Pliensbachian,28.91748,3.280145,18.19257,13.060672
Blikanasaurus_cromptoni,35295,Elliot Formation (Lower),South Africa,Rhaetian,17.4025,0.7935188,44.449152999999995,3.1092313000000003
Blikanasaurus_cromptoni,35295,Elliot Formation (Lower),South Africa,Rhaetian,17.4025,0.7935188,44.449152999999995,3.1092313000000003
Melanorosaurus_readi,36609,Elliot Formation (Lower),South Africa,Rhaetian,17.4025,0.7935188,44.449152999999995,3.1092313000000003
Melanorosaurus_readi,36609,Elliot Formation (Lower),South Africa,Rhaetian,17.4025,0.7935188,44.449152999999995,3.1092313000000003
Massospondylus_carinatus,36702,"Elliot Formation (Upper), Forest Sandstone Formation, Clarens Formation",South Africa and Zimbabwe,Pliensbachian,15.2345,0.9497582,41.122038,1.7984080000000002
Melanorosaurus_readi,36704,Elliot Formation (Lower),South Africa,Rhaetian,17.4025,0.7935188,44.449152999999995,3.1092313000000003
Melanorosaurus_readi,36705,Elliot Formation (Lower),South Africa,Rhaetian,17.4025,0.7935188,44.449152999999995,3.1092313000000003
Melanorosaurus_readi,36705,Elliot Formation (Lower),South Africa,Rhaetian,17.4025,0.7935188,44.449152999999995,3.1092313000000003
