accepted_name,occurrence_no,class,collection_no,cc,max_ma,min_ma,lat,lng,paleolat,paleolng,group,stage,MAT_degC,GSP_cm,MAP_cm,s_temp,s_precip
Morganucodon oehleri,138845,Osteichthyes,11805,CN,201.3,199.3,25.172689,102.107323,37.81,120.2,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Amygdalodon patagonicus,139306,Saurischia,11923,AR,180.1,171.6,-43.966667,-69.51667,-44.08,-16.23,Sauropodomorpha,Toarcian,17.20987,5.94422,0.4403013,36.624721,2.2653277000000003
Icarosaurus siefkeri,146084,Reptilia,12856,US,228,208.5,40.811943,-74.018608,14.34,-8.55,Tetrapoda,Norian,39.16452,34.46359,0.9573208,7.8157,5.91223263
Rutiodon carolinensis,146085,Reptilia,12856,US,228,208.5,40.811943,-74.018608,14.34,-8.55,Tetrapoda,Norian,39.16452,34.46359,0.9573208,7.8157,5.91223263
Kuehneosuchus latissimus,146086,Reptilia,12857,UK,208.5,201.3,51.291943,-2.775,33.99,8.91,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Kuehneosaurus latus,146087,Reptilia,12858,UK,208.5,201.3,51.252777,-2.543611,34.01,9.08,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Trilophosaurus buettneri,146660,Reptilia,12942,US,228,208.5,32.175007,-101.254799,6.49,-31,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Trilophosaurus buettneri,146661,Reptilia,12942,US,228,208.5,32.175007,-101.254799,6.49,-31,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Clevosaurus hudsoni,149237,Reptilia,13173,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Planocephalosaurus robinsonae,149243,Reptilia,13174,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Sigmala sigmala,149244,Reptilia,13174,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Clevosaurus minor,149247,Reptilia,13175,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Planocephalosaurus robinsonae,149249,Reptilia,13175,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Sigmala sigmala,149253,Reptilia,13175,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Planocephalosaurus robinsonae,149254,Reptilia,13176,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Clevosaurus minor,149255,Reptilia,13176,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Sigmala sigmala,149260,Reptilia,13176,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Sigmala sigmala,149262,Reptilia,13177,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Pelecymala robustus,149263,Reptilia,13177,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Planocephalosaurus robinsonae,149264,Reptilia,13177,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Planocephalosaurus robinsonae,149290,Reptilia,13182,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Planocephalosaurus robinsonae,149293,Reptilia,13183,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Clevosaurus minor,149294,Reptilia,13183,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Adelobasileus cromptoni,149837,Osteichthyes,13266,US,228,208.5,33.433887,-101.163887,7.72,-30.75,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Trilophosaurus buettneri,149845,Reptilia,13266,US,228,208.5,33.433887,-101.163887,7.72,-30.75,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Postosuchus kirkpatricki,149917,Reptilia,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Postosuchus kirkpatricki,149917,Reptilia,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Desmatosuchus smalli,149918,Reptilia,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Desmatosuchus smalli,149918,Reptilia,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Rileymillerus cosgriffi,149920,Osteichthyes,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Rileymillerus cosgriffi,149920,Osteichthyes,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Apachesaurus gregorii,149923,Osteichthyes,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Apachesaurus gregorii,149923,Osteichthyes,13273,US,228,208.5,33.521389,-101.315002,7.83,-30.86,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Efraasia minor,149988,Saurischia,13285,DE,228,208.5,49.023609,8.978333,30.26,21.02,Sauropodomorpha,Norian,27.76358,49.3446,1.370686,34.94238,3.219998
Efraasia minor,149988,Saurischia,13285,DE,228,208.5,49.023609,8.978333,30.26,21.02,Sauropodomorpha,Norian,27.76358,49.3446,1.370686,34.94238,3.219998
Efraasia minor,149988,Saurischia,13285,DE,228,208.5,49.023609,8.978333,30.26,21.02,Sauropodomorpha,Norian,27.76358,49.3446,1.370686,34.94238,3.219998
Efraasia minor,149988,Saurischia,13285,DE,228,208.5,49.023609,8.978333,30.26,21.02,Sauropodomorpha,Norian,27.76358,49.3446,1.370686,34.94238,3.219998
Plateosaurus engelhardti,220070,Saurischia,22680,CH,228,208.5,47.5,8.016667,28.61,21.05,Sauropodomorpha,Norian,28.90005,36.01458,1.000406,31.029360000000004,3.30474
Plateosaurus engelhardti,220070,Saurischia,22680,CH,228,208.5,47.5,8.016667,28.61,21.05,Sauropodomorpha,Norian,28.90005,36.01458,1.000406,31.029360000000004,3.30474
Plateosaurus longiceps,220082,Saurischia,22683,DE,228,208.5,48.066669,8.65,29.29,21.24,Sauropodomorpha,Norian,28.90005,36.01458,1.000406,31.029360000000004,3.30474
Plateosaurus longiceps,220082,Saurischia,22683,DE,228,208.5,48.066669,8.65,29.29,21.24,Sauropodomorpha,Norian,28.90005,36.01458,1.000406,31.029360000000004,3.30474
Plateosaurus longiceps,220082,Saurischia,22683,DE,228,208.5,48.066669,8.65,29.29,21.24,Sauropodomorpha,Norian,28.90005,36.01458,1.000406,31.029360000000004,3.30474
Elachistosuchus huenei,220088,Reptilia,22684,DE,208.5,201.3,51.897499,11.073611,38.58,17.95,Tetrapoda,Rhaetian,25.97794,37.94636,1.174675,44.270935,3.481397
Koskinonodon perfectus,220202,Osteichthyes,22718,US,237,228,35.2374,-105.793999,14.08,-32.14,Tetrapoda,Carnian,34.0029,27.61294,0.7670252,4.726160000000004,4.22114647
Poposaurus langstoni,229324,Reptilia,22704,US,228,208.5,32.172222,-101.247223,6.48,-31,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Otischalkia elderae,229325,Reptilia,22704,US,228,208.5,32.172222,-101.247223,6.48,-31,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Trilophosaurus buettneri,229332,Reptilia,22706,US,228,208.5,32.1721,-101.247002,6.48,-31,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Trilophosaurus buettneri,229332,Reptilia,22706,US,228,208.5,32.1721,-101.247002,6.48,-31,Tetrapoda,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
Chindesaurus bryansmalli,229333,Saurischia,22706,US,228,208.5,32.1721,-101.247002,6.48,-31,Dinosauromorpha,Norian,35.04388,29.55319,0.8209236,5.324160000000003,5.15831674
