Taxon,strat_unit,country,FAD,LAD,early interval,late interval
Aardonyx celestae,Elliot Formation (Upper),South Africa,201.3,190.8,Hettangian,Sinemurian
Abrictosaurus consors,Elliot Formation (Upper),Lesotho,201.3,190.8,Hettangian,Sinemurian
Adeopapposaurus mognai,Cañon del Colorado Formation (Upper),Argentina,201.3,174.1,Early Jurassic,Early Jurassic
Anchisaurus polyzelus,Portland Formation (Agawam Group),USA,201.3,190.8,Hettangian,Sinemurian
Antetonitrus ingenipes,Elliot Formation (Upper),South Africa,201.3,190.8,Hettangian,Sinemurian
Arizona Scelidosaur,Kayenta Formation,USA,199.3,182.7,Sinemurian,Pliensbachian
Arizonasaurus,Moenkopi Formation,USA,247.2,244.6,early Anisian,early Anisian
Asilisaurus kongwe,Manda Beds Formation (Cynognathus subzone C),Tanzania,244.6,242,late Anisian,late Anisian
Barapasaurus tagorei,Kota Formation (Lower),India,199.3,182.7,Sinemurian,Pliensbachian
Berberosaurus liassicus,Toundoute Group,Morocco,190.8,174.1,Pliensbachian,Toarcian
Bienosaurus lufengensis,Lufeng Formation (Zhangjiawa Member),China,199.3,190.8,Sinemurian,Sinemurian
Blikanasaurus cromptoni,Elliot Formation (Lower),South Africa,221.5,201.3,mid Norian,Rhaetian
Camelotia borealis,Westbury Formation,UK,208.5,201.3,Rhaetian,Rhaetian
Camposaurus arizonensis,Chinle Formation (Mesa Redondo Member),USA,228,221.5,early Norian,early Norian
Chindesaurus bryansmalli,Chinle Formation (Petrified Forest Member),USA,213.8,210,late Norian,late Norian
Chromogisaurus novasi,"Ischigualasto Formation (Cancha de Bochas Member, Scaphonyx-Exaeretodon-Herrerasaurus other zone)",Argentina,229.2,227.24,late Carnian,late Carnian
Coelophysis bauri,Chinle Formation (Siltstone and Petrified Forest Members),USA,213.8,201.3,late Norian,Rhaetian
Coelophysis kayentakatae,Kayenta Formation (Silty Facies Member),USA,199.3,182.7,Sinemurian,Pliensbachian
Coelophysis rhodesiensis,"Forest Sandstone Formation, Nyamandhlovu Sandstones Formation, Elliot Formation (Upper)",Zimbabwe & South Africa,201.3,190.8,Hettangian,Sinemurian
Coloradisaurus brevis,Los Colorados Formation (Agua de la Peña Group),Argentina,227,213,Norian,Norian
Cryolophosaurus ellioti,Hanson Formation,Antarctica,199.3,182.7,Sinemurian,Pliensbachian
Ctenosauriscus,"‘‘Solling-Bausandstein’, upper Middle Buntsandstein, Solling Formation",Germany,247.5,247.2,late Olenekian,late Olenekian
Daemonosaurus chauliodus,Chinle Formation (Siltstone Member),USA,213.8,201.3,late Norian,Rhaetian
Dilophosaurus wetherilli,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,199.3,182.7,Sinemurian,Pliensbachian
Diodorus scytobrachion,Timezgadiouine Formation,Morocco,237,227,Carnian,Carnian
Dongusuchus,Donguz Formation,Russia,247.2,244.6,early Anisian,early Anisian
Dracoraptor hanigani,Blue Lias Formation,UK,201.3,199.3,Hettangian,Hettangian
Dracovenator regenti,Elliot Formation (Upper),South Africa,201.3,190.8,Hettangian,Sinemurian
Dromomeron gigas,Quebrada del Barro Formation,Argentina,218.25,201.3,late Norian,Rhaetian
Dromomeron gregorii,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,225,217,early Norian,early Norian
Dromomeron romeri,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,225,204,early Norian,early Rhaetian
Efraasia minor,Löwenstein Formation (Lower Stubensandstein Member),Germany,218.25,208.5,late Norian,late Norian
Emausaurus ernsti,NA,Germany,183,182,Toarcian,Toarcian
Eocursor parvus,Elliot Formation (Upper),South Africa,201.3,190.8,Hettangian,Sinemurian
Eodromaeus murphi,"Ischigualasto Formation (Valle de la Luna Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,229.2,227.24,late Carnian,late Carnian
Eoraptor lunensis,"Ischigualasto Formation (Cancha de Bochas Member, Scaphonyx-Exaeretodon-Herrerasaurus other zone)",Argentina,229.2,227.24,late Carnian,late Carnian
Eucnemesaurus entaxonis,Elliot Formation (Lower),South Africa,221.5,201.3,mid Norian,Rhaetian
Eucnemesaurus fortis,Elliot Formation (Lower),South Africa,221.5,201.3,mid Norian,Rhaetian
Eucoelophysis baldwini,Chinle Formation (Petrified Forest Member),USA,213.8,210,late Norian,late Norian
FMNH CUP 2089,Lufeng Formation (Zhangjiawa Member),China,199.3,190.8,Sinemurian,Sinemurian
FMNH CUP 2338,Lufeng Formation (Zhangjiawa Member),China,199.3,190.8,Sinemurian,Sinemurian
Glacialisaurus hammeri,Hanson Formation,Antarctica,199.3,182.7,Sinemurian,Pliensbachian
Gojirasaurus quayi,Bull Canyon Formation,USA,215,208.5,mid to late Norian,mid to late Norian
Gongxianosaurus shibeiensis,Ziliujing Formation (Dongyuemiao Member),China,180.1,174.1,Toarcian,Toarcian
Guaibasauridae indet ,Maleri Formation (Upper),India,228,218.25,early Norian,early Norian
Guaibasaurus candelariensis,Caturrita Formation (Riograndia assemblage zone),Brazil,225.4,224,early Norian,early Norian
Herrerasaurus ischigualastensis,"Ischigualasto Formation (Cancha de Bochas Member, Scaphonyx-Exaeretodon-Herrerasaurus other zone)",Argentina,229.2,227.24,late Carnian,late Carnian
Heterodontosaurus tucki,Clarens Formation and Elliot Formation (Upper),South Africa,201.3,182.7,Hettangian,Pliensbachian
Ignavusaurus rachelis,Elliot Formation (Upper),Lesotho,201.3,190.8,Hettangian,Sinemurian
Isanosaurus attavipachi,Nam Phong Formation (Upper),Thailand,190.8,174.1,Pliensbachian,Toarcian
Ixalerpeton polesinensis,Santa Maria Formation (Alemoa Member),Brazil,229.2,227.24,late Carnian,late Carnian
Jingshanosaurus xinwaensis,Lufeng Formation (Shawan Member),China,201.3,199.3,Hettangian,Hettangian
Kayenta heterodontosaurid,Kayenta Formation,USA,199.3,182.7,Sinemurian,Pliensbachian
Kwanasaurus williamparkeri,"Chinle Formation (""red siltstone member"")",USA,215,208.5,mid to late Norian,mid to late Norian
Lagerpeton chanarensis,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,237,233.7,early Carnian,early Carnian
Lagerpetonidae indet ,Ischigualasto Formation (Scaphonyx-Exaeretodon-Herrerasaurus biozone),Argentina,229.2,227.24,late Carnian,late Carnian
Laquintasaura venezuelae,La Quinta Formation,Venezuela,201.3,199.3,Hettangian,Hettangian
Ledumahadi mafube,Elliot Formation (Upper),South Africa,201.3,190.8,Hettangian,Sinemurian
Leonerasaurus taquetrensis,Las Leoneras Formation (Upper),Argentina,195,186.8,late Sinemurian,early Pliensbachian
Lepidus praecisio,lowermost Dockum Group,USA,228,223,early Norian,early Norian
Lesothosaurus diagnosticus,Elliot Formation (Upper),Lesotho,201.3,190.8,Hettangian,Sinemurian
Lessemsaurus sauropoides,Los Colorados Formation (Coloradian other zone),Argentina,227,213,Norian,Norian
Lewisuchus admixtus,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,237,233.7,early Carnian,early Carnian
Leyesaurus marayensis,Quebrada del Barro Formation,Argentina,218.25,201.3,late Norian,Rhaetian
Liliensternus liliensterni,Trossingen Formation,Germany,218.25,208.5,late Norian,late Norian
Lucianovenator bonoi,Quebrada del Barro Formation,Argentina,218.25,201.3,late Norian,Rhaetian
Lufengosaurus huenei,"Lufeng Formation (Shawan Member), Zhenzhuchong Formation",China,208.5,199.3,Hettangian,Hettangian
Lutungutali sitwensis,Ntawere Formation (Upper),Zambia,244.6,242,late Anisian,late Anisian
Lycorhinus angustidens,Elliot Formation (Upper),South Africa,201.3,190.8,Hettangian,Sinemurian
Manidens condorensis,Cañadón Asfalto Formation,Argentina,180.1,168.3,late Toarcian,Bajocian
Marasuchus lilloensis,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,237,233.7,early Carnian,early Carnian
Massospondylus carinatus,"Elliot Formation (Upper), Forest Sandstone Formation, Clarens Formation",South Africa and Zimbabwe,201.3,182.7,Hettangian,Pliensbachian
Massospondylus kaalae,Elliot Formation (Upper),South Africa,201.3,190.8,Hettangian,Sinemurian
